t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason
17.0992,0,0,0,85,delta
17.1193,0,0,0,85,delta
17.1397,0,0,0,85,delta
17.1593,0,0,0,85,delta
17.1793,0,0,0,85,delta
17.1996,0,0,0,85,delta
17.2193,0,0,0,85,delta
17.2394,0,0,0,85,delta
17.2597,0,0,0,85,delta
17.2795,0,0,0,85,delta
17.2993,0,0,0,85,delta
17.3196,0,0,0,85,delta
17.3393,0,0,0,85,delta
17.3593,0,0,0,85,delta
17.3799,0,0,0,85,delta
17.3995,0,0,0,85,delta
17.4193,0,0,0,85,delta
17.4397,0,0,0,85,delta
17.4593,0,0,0,85,delta
17.4794,0,0,0,85,delta
17.4999,0,0,0,85,delta
17.5194,0,0,0,85,delta
17.5393,0,0,0,85,delta
17.5596,0,0,0,85,delta
17.5793,0,0,0,85,delta
17.5994,0,0,0,85,delta
17.6198,0,0,0,85,delta
17.6397,0,0,0,85,delta
17.6595,0,0,0,85,delta
17.6798,0,0,0,85,delta
17.6993,0,0,0,85,delta
17.7193,0,0,0,85,delta
17.7395,0,0,0,85,delta
17.7592,0,0,0,85,delta
17.7794,0,0,0,85,delta
17.7996,0,0,0,85,delta
17.8194,0,0,0,85,delta
17.84,0,0,0,85,delta
17.8596,0,0,0,85,delta
17.8793,0,0,0,85,delta
17.8994,0,0,0,85,delta
17.9197,0,0,0,85,delta
17.9392,0,0,0,85,delta
17.9594,0,0,0,85,delta
17.9796,0,0,0,85,delta
17.9994,0,0,0,85,delta
18.0194,0,0,0,85,delta
18.0396,0,0,0,85,delta
18.0593,0,0,0,85,delta
18.0795,0,0,0,85,delta
18.0995,0,0,0,85,delta
18.1193,0,0,0,85,delta
18.1401,0,0,0,85,delta
18.1609,0,0,0,85,delta
18.1806,0,0,0,85,delta
18.2006,0,0,0,85,delta
18.2209,0,0,0,85,delta
18.2406,0,0,0,85,delta
18.2606,0,0,0,85,delta
18.2807,0,0,0,85,delta
18.3004,0,0,0,85,delta
18.3204,0,0,0,85,delta
18.3407,0,0,0,85,delta
18.3604,0,0,0,85,delta
18.3806,0,0,0,85,delta
18.4006,0,0,0,85,delta
18.4205,0,0,0,85,delta
18.4408,0,0,0,85,delta
18.4675,0,0,0,85,delta
18.5331,0,0,0,85,delta
18.5624,0,0,0,85,delta
18.6444,0,0,0,85,delta
18.6656,0,0,0,85,delta
18.6854,0,0,0,85,delta
18.7062,0,0,0,85,delta
18.7264,0,0,0,85,delta
18.7463,0,0,0,85,delta
18.7671,0,0,0,85,delta
18.7873,0,0,0,85,delta
18.8077,0,0,0,85,delta
18.8277,0,0,0,85,delta
18.8477,0,0,0,85,delta
18.8676,0,0,0,85,delta
18.8879,0,0,0,85,delta
18.9076,0,0,0,85,delta
18.9275,0,0,0,85,delta
18.9477,0,0,0,85,delta
18.9677,0,0,0,85,delta
18.9875,0,0,0,85,delta
19.0076,0,0,0,85,delta
19.0281,0,0,0,85,delta
19.0484,0,0,0,85,delta
19.0687,0,0,0,85,delta
19.0885,0,0,0,85,delta
19.1084,0,0,0,85,delta
19.1286,0,0,0,85,delta
19.1486,0,0,0,85,delta
19.1683,0,0,0,85,delta
19.1887,0,0,0,85,delta
19.2085,0,0,0,85,delta
19.2285,0,0,0,85,delta
19.249,0,0,0,85,delta
19.2687,0,0,0,85,delta
19.2885,0,0,0,85,delta
19.3086,0,0,0,85,delta
19.3284,0,0,0,85,delta
19.3484,0,0,0,85,delta
19.3688,0,0,0,85,delta
19.3885,0,0,0,85,delta
19.4086,0,0,0,85,delta
19.4285,0,0,0,85,delta
19.4485,0,0,0,85,delta
19.4684,0,0,0,85,delta
19.4894,0,0,0,85,delta
19.5096,0,0,0,85,delta
19.5294,0,0,0,85,delta
19.5496,0,0,0,85,delta
19.5694,0,0,0,85,delta
19.5892,0,0,0,85,delta
19.6101,0,0,0,85,delta
19.6304,0,0,0,85,delta
19.6504,0,0,0,85,delta
19.6705,0,0,0,85,delta
19.6904,0,0,0,85,delta
19.7105,0,0,0,85,delta
19.7307,0,0,0,85,delta
19.7505,0,0,0,85,delta
19.7703,0,0,0,85,delta
19.7911,0,0,0,85,delta
19.8114,0,0,0,85,delta
19.8315,0,0,0,85,delta
19.8516,0,0,0,85,delta
